Sentence	SentenceID	Region	Word	Surprisal	SurprisalReweighted	Repetition
0	Vani_etal_2021.E1.65.filler	0	Cindy	13.357	12.907	0
0	Vani_etal_2021.E1.65.filler	0	Cindy	13.37	12.468	1
0	Vani_etal_2021.E1.65.filler	0	Cindy	13.433	11.733	0
0	Vani_etal_2021.E1.65.filler	0	Cindy	13.41	12.619	1
0	Vani_etal_2021.E1.65.filler	1	treated	11.419	11.533	0
0	Vani_etal_2021.E1.65.filler	1	treated	11.579	10.769	1
0	Vani_etal_2021.E1.65.filler	1	treated	11.407	11.483	0
0	Vani_etal_2021.E1.65.filler	1	treated	11.569	10.919	1
0	Vani_etal_2021.E1.65.filler	2	herself	4.961	4.267	0
0	Vani_etal_2021.E1.65.filler	2	herself	4.959	4.657	1
0	Vani_etal_2021.E1.65.filler	2	herself	4.944	4.707	0
0	Vani_etal_2021.E1.65.filler	2	herself	5.255	4.92	1
0	Vani_etal_2021.E1.65.filler	3	to	0.684	0.515	0
0	Vani_etal_2021.E1.65.filler	3	to	0.781	0.634	1
0	Vani_etal_2021.E1.65.filler	3	to	0.698	0.632	0
0	Vani_etal_2021.E1.65.filler	3	to	0.646	0.641	1
0	Vani_etal_2021.E1.65.filler	4	a	1.059	0.891	0
0	Vani_etal_2021.E1.65.filler	4	a	1.643	0.753	1
0	Vani_etal_2021.E1.65.filler	4	a	1.815	1.151	0
0	Vani_etal_2021.E1.65.filler	4	a	1.59	0.987	1
0	Vani_etal_2021.E1.65.filler	5	vacation	7.424	6.439	0
0	Vani_etal_2021.E1.65.filler	5	vacation	8.273	7.432	1
0	Vani_etal_2021.E1.65.filler	5	vacation	7.433	6.059	0
0	Vani_etal_2021.E1.65.filler	5	vacation	8.791	7.15	1
0	Vani_etal_2021.E1.65.filler	6	in	4.875	3.16	0
0	Vani_etal_2021.E1.65.filler	6	in	4.455	2.893	1
0	Vani_etal_2021.E1.65.filler	6	in	5.072	3.31	0
0	Vani_etal_2021.E1.65.filler	6	in	4.909	4.415	1
0	Vani_etal_2021.E1.65.filler	7	China	6.932	5.835	0
0	Vani_etal_2021.E1.65.filler	7	China	6.696	5.388	1
0	Vani_etal_2021.E1.65.filler	7	China	7.199	5.642	0
0	Vani_etal_2021.E1.65.filler	7	China	6.825	5.458	1
0	Vani_etal_2021.E1.65.filler	8	and	3.482	3.107	0
0	Vani_etal_2021.E1.65.filler	8	and	3.301	2.784	1
0	Vani_etal_2021.E1.65.filler	8	and	3.425	2.927	0
0	Vani_etal_2021.E1.65.filler	8	and	3.193	3.073	1
0	Vani_etal_2021.E1.65.filler	9	several	7.807	6.738	0
0	Vani_etal_2021.E1.65.filler	9	several	7.865	6.848	1
0	Vani_etal_2021.E1.65.filler	9	several	7.612	5.633	0
0	Vani_etal_2021.E1.65.filler	9	several	7.903	7.516	1
0	Vani_etal_2021.E1.65.filler	10	other	2.157	1.411	0
0	Vani_etal_2021.E1.65.filler	10	other	2.185	1.755	1
0	Vani_etal_2021.E1.65.filler	10	other	1.95	1.484	0
0	Vani_etal_2021.E1.65.filler	10	other	1.992	2.135	1
0	Vani_etal_2021.E1.65.filler	11	Asian	4.33	2.701	0
0	Vani_etal_2021.E1.65.filler	11	Asian	4.389	3.375	1
0	Vani_etal_2021.E1.65.filler	11	Asian	4.537	3.92	0
0	Vani_etal_2021.E1.65.filler	11	Asian	4.269	2.97	1
0	Vani_etal_2021.E1.65.filler	12	countries	4.488	2.502	0
0	Vani_etal_2021.E1.65.filler	12	countries	4.604	1.837	1
0	Vani_etal_2021.E1.65.filler	12	countries	4.868	3.008	0
0	Vani_etal_2021.E1.65.filler	12	countries	4.437	3.126	1
1	Vani_etal_2021.E1.58.filler	0	Todd	12.893	12.869	0
1	Vani_etal_2021.E1.58.filler	0	Todd	12.807	12.546	1
1	Vani_etal_2021.E1.58.filler	0	Todd	12.876	12.109	0
1	Vani_etal_2021.E1.58.filler	0	Todd	12.697	12.34	1
1	Vani_etal_2021.E1.58.filler	1	wanted	8.51	7.853	0
1	Vani_etal_2021.E1.58.filler	1	wanted	8.462	8.108	1
1	Vani_etal_2021.E1.58.filler	1	wanted	8.475	8.278	0
1	Vani_etal_2021.E1.58.filler	1	wanted	8.442	7.562	1
1	Vani_etal_2021.E1.58.filler	2	to	0.579	0.601	0
1	Vani_etal_2021.E1.58.filler	2	to	0.606	0.579	1
1	Vani_etal_2021.E1.58.filler	2	to	0.631	0.648	0
1	Vani_etal_2021.E1.58.filler	2	to	0.616	0.594	1
1	Vani_etal_2021.E1.58.filler	3	be	3.138	3.113	0
1	Vani_etal_2021.E1.58.filler	3	be	3.155	2.873	1
1	Vani_etal_2021.E1.58.filler	3	be	3.192	2.858	0
1	Vani_etal_2021.E1.58.filler	3	be	3.063	2.669	1
1	Vani_etal_2021.E1.58.filler	4	a	3.055	2.862	0
1	Vani_etal_2021.E1.58.filler	4	a	3.119	2.153	1
1	Vani_etal_2021.E1.58.filler	4	a	2.699	2.151	0
1	Vani_etal_2021.E1.58.filler	4	a	2.69	2.692	1
1	Vani_etal_2021.E1.58.filler	5	barber	11.855	9.618	0
1	Vani_etal_2021.E1.58.filler	5	barber	12.897	10.729	1
1	Vani_etal_2021.E1.58.filler	5	barber	12.449	9.702	0
1	Vani_etal_2021.E1.58.filler	5	barber	12.129	9.557	1
1	Vani_etal_2021.E1.58.filler	6	but	6.067	5.195	0
1	Vani_etal_2021.E1.58.filler	6	but	6.549	5.856	1
1	Vani_etal_2021.E1.58.filler	6	but	6.203	5.165	0
1	Vani_etal_2021.E1.58.filler	6	but	6.724	4.873	1
1	Vani_etal_2021.E1.58.filler	7	his	6.182	3.794	0
1	Vani_etal_2021.E1.58.filler	7	his	5.831	4.66	1
1	Vani_etal_2021.E1.58.filler	7	his	5.868	4.717	0
1	Vani_etal_2021.E1.58.filler	7	his	6.184	5.366	1
1	Vani_etal_2021.E1.58.filler	8	shaky	13.148	11.963	0
1	Vani_etal_2021.E1.58.filler	8	shaky	12.937	12.402	1
1	Vani_etal_2021.E1.58.filler	8	shaky	13.284	12.085	0
1	Vani_etal_2021.E1.58.filler	8	shaky	12.907	12.404	1
1	Vani_etal_2021.E1.58.filler	9	hands	4.822	4.118	0
1	Vani_etal_2021.E1.58.filler	9	hands	4.541	3.859	1
1	Vani_etal_2021.E1.58.filler	9	hands	4.838	3.894	0
1	Vani_etal_2021.E1.58.filler	9	hands	4.685	3.686	1
1	Vani_etal_2021.E1.58.filler	10	prevented	6.915	5.122	0
1	Vani_etal_2021.E1.58.filler	10	prevented	8.359	6.329	1
1	Vani_etal_2021.E1.58.filler	10	prevented	8.727	5.76	0
1	Vani_etal_2021.E1.58.filler	10	prevented	7.599	5.642	1
1	Vani_etal_2021.E1.58.filler	11	him	1.847	1.44	0
1	Vani_etal_2021.E1.58.filler	11	him	3.034	1.533	1
1	Vani_etal_2021.E1.58.filler	11	him	2.911	1.447	0
