Sentence	SentenceID	Region	Word	Surprisal	SurprisalReweighted	Repetition
0	Vani_etal_2021.E2_S10.1.obj_rc	0	The	3.065	2.941	0
0	Vani_etal_2021.E2_S10.1.obj_rc	0	The	3.176	2.81	1
0	Vani_etal_2021.E2_S10.1.obj_rc	0	The	3.088	2.903	0
0	Vani_etal_2021.E2_S10.1.obj_rc	0	The	3.098	3.078	1
0	Vani_etal_2021.E2_S10.1.obj_rc	1	bus	10.612	8.129	0
0	Vani_etal_2021.E2_S10.1.obj_rc	1	bus	10.253	9.798	1
0	Vani_etal_2021.E2_S10.1.obj_rc	1	bus	10.332	8.883	0
0	Vani_etal_2021.E2_S10.1.obj_rc	1	bus	10.279	9.542	1
0	Vani_etal_2021.E2_S10.1.obj_rc	2	driver	4.477	3.329	0
0	Vani_etal_2021.E2_S10.1.obj_rc	2	driver	4.318	3.105	1
0	Vani_etal_2021.E2_S10.1.obj_rc	2	driver	4.3	2.254	0
0	Vani_etal_2021.E2_S10.1.obj_rc	2	driver	4.816	3.636	1
0	Vani_etal_2021.E2_S10.1.obj_rc	3	that	6.268	5.625	0
0	Vani_etal_2021.E2_S10.1.obj_rc	3	that	6.338	5.927	1
0	Vani_etal_2021.E2_S10.1.obj_rc	3	that	6.355	5.744	0
0	Vani_etal_2021.E2_S10.1.obj_rc	3	that	6.345	6.105	1
0	Vani_etal_2021.E2_S10.1.obj_rc	4	the	4.947	4.816	0
0	Vani_etal_2021.E2_S10.1.obj_rc	4	the	4.88	4.672	1
0	Vani_etal_2021.E2_S10.1.obj_rc	4	the	4.89	4.83	0
0	Vani_etal_2021.E2_S10.1.obj_rc	4	the	4.795	4.629	1
0	Vani_etal_2021.E2_S10.1.obj_rc	5	kids	10.642	8.627	0
0	Vani_etal_2021.E2_S10.1.obj_rc	5	kids	9.903	7.702	1
0	Vani_etal_2021.E2_S10.1.obj_rc	5	kids	9.046	6.817	0
0	Vani_etal_2021.E2_S10.1.obj_rc	5	kids	9.506	8.15	1
0	Vani_etal_2021.E2_S10.1.obj_rc	6	followed	10.148	9.339	0
0	Vani_etal_2021.E2_S10.1.obj_rc	6	followed	9.887	8.401	1
0	Vani_etal_2021.E2_S10.1.obj_rc	6	followed	10.468	9.114	0
0	Vani_etal_2021.E2_S10.1.obj_rc	6	followed	10.232	9.513	1
1	Vani_etal_2021.E2_S10.1.embed	0	The	3.096	2.88	0
1	Vani_etal_2021.E2_S10.1.embed	0	The	3.183	2.867	1
1	Vani_etal_2021.E2_S10.1.embed	0	The	3.115	3.277	0
1	Vani_etal_2021.E2_S10.1.embed	0	The	3.003	3.095	1
1	Vani_etal_2021.E2_S10.1.embed	1	bus	10.467	9.796	0
1	Vani_etal_2021.E2_S10.1.embed	1	bus	10.272	8.984	1
1	Vani_etal_2021.E2_S10.1.embed	1	bus	10.4	9.911	0
1	Vani_etal_2021.E2_S10.1.embed	1	bus	10.401	9.851	1
1	Vani_etal_2021.E2_S10.1.embed	2	driver	4.649	2.839	0
1	Vani_etal_2021.E2_S10.1.embed	2	driver	4.307	3.257	1
1	Vani_etal_2021.E2_S10.1.embed	2	driver	4.255	3.597	0
1	Vani_etal_2021.E2_S10.1.embed	2	driver	4.146	2.911	1
