Sentence	SentenceID	Region	Word	Surprisal	SurprisalReweighted	Repetition
0	Vani_etal_2021.E2_S10.1.obj_rc	0	The	3.346	3.455	0
0	Vani_etal_2021.E2_S10.1.obj_rc	0	The	3.429	3.291	1
0	Vani_etal_2021.E2_S10.1.obj_rc	0	The	3.422	3.08	0
0	Vani_etal_2021.E2_S10.1.obj_rc	0	The	3.444	3.162	1
0	Vani_etal_2021.E2_S10.1.obj_rc	1	bus	9.406	8.988	0
0	Vani_etal_2021.E2_S10.1.obj_rc	1	bus	9.373	9.254	1
0	Vani_etal_2021.E2_S10.1.obj_rc	1	bus	9.32	9.056	0
0	Vani_etal_2021.E2_S10.1.obj_rc	1	bus	9.335	8.919	1
0	Vani_etal_2021.E2_S10.1.obj_rc	2	driver	3.074	3.193	0
0	Vani_etal_2021.E2_S10.1.obj_rc	2	driver	3.367	3.283	1
0	Vani_etal_2021.E2_S10.1.obj_rc	2	driver	3.418	3.218	0
0	Vani_etal_2021.E2_S10.1.obj_rc	2	driver	3.37	3.145	1
0	Vani_etal_2021.E2_S10.1.obj_rc	3	that	5.385	5.271	0
0	Vani_etal_2021.E2_S10.1.obj_rc	3	that	5.256	4.985	1
0	Vani_etal_2021.E2_S10.1.obj_rc	3	that	5.444	5.529	0
0	Vani_etal_2021.E2_S10.1.obj_rc	3	that	5.384	5.304	1
0	Vani_etal_2021.E2_S10.1.obj_rc	4	the	4.925	5.053	0
0	Vani_etal_2021.E2_S10.1.obj_rc	4	the	4.893	4.895	1
0	Vani_etal_2021.E2_S10.1.obj_rc	4	the	4.862	5.087	0
0	Vani_etal_2021.E2_S10.1.obj_rc	4	the	4.892	5.003	1
0	Vani_etal_2021.E2_S10.1.obj_rc	5	kids	4.919	4.38	0
0	Vani_etal_2021.E2_S10.1.obj_rc	5	kids	4.912	4.649	1
0	Vani_etal_2021.E2_S10.1.obj_rc	5	kids	4.894	4.812	0
0	Vani_etal_2021.E2_S10.1.obj_rc	5	kids	4.931	4.57	1
0	Vani_etal_2021.E2_S10.1.obj_rc	6	followed	7.765	7.612	0
0	Vani_etal_2021.E2_S10.1.obj_rc	6	followed	7.724	7.722	1
0	Vani_etal_2021.E2_S10.1.obj_rc	6	followed	7.746	7.552	0
0	Vani_etal_2021.E2_S10.1.obj_rc	6	followed	7.809	7.645	1
1	Vani_etal_2021.E2_S10.1.embed	0	The	3.487	3.34	0
1	Vani_etal_2021.E2_S10.1.embed	0	The	3.421	3.393	1
1	Vani_etal_2021.E2_S10.1.embed	0	The	3.335	3.188	0
1	Vani_etal_2021.E2_S10.1.embed	0	The	3.393	3.39	1
1	Vani_etal_2021.E2_S10.1.embed	1	bus	9.703	8.989	0
1	Vani_etal_2021.E2_S10.1.embed	1	bus	9.388	9.224	1
1	Vani_etal_2021.E2_S10.1.embed	1	bus	9.213	9.136	0
1	Vani_etal_2021.E2_S10.1.embed	1	bus	9.519	9.015	1
1	Vani_etal_2021.E2_S10.1.embed	2	driver	3.272	3.177	0
1	Vani_etal_2021.E2_S10.1.embed	2	driver	3.287	3.154	1
1	Vani_etal_2021.E2_S10.1.embed	2	driver	3.484	3.045	0
1	Vani_etal_2021.E2_S10.1.embed	2	driver	3.545	2.933	1
1	Vani_etal_2021.E2_S10.1.embed	3	said	4.471	4.328	0
1	Vani_etal_2021.E2_S10.1.embed	3	said	4.629	4.678	1
1	Vani_etal_2021.E2_S10.1.embed	3	said	4.782	4.659	0
1	Vani_etal_2021.E2_S10.1.embed	3	said	5.081	4.218	1
1	Vani_etal_2021.E2_S10.1.embed	4	that	1.985	1.803	0
1	Vani_etal_2021.E2_S10.1.embed	4	that	2.058	1.92	1
1	Vani_etal_2021.E2_S10.1.embed	4	that	2.06	2.055	0
1	Vani_etal_2021.E2_S10.1.embed	4	that	2.063	1.982	1
1	Vani_etal_2021.E2_S10.1.embed	5	the	2.267	2.219	0
1	Vani_etal_2021.E2_S10.1.embed	5	the	2.279	2.259	1
1	Vani_etal_2021.E2_S10.1.embed	5	the	2.314	2.24	0
