Sentence	SentenceID	Region	Word	Surprisal	SurprisalReweighted	Repetition
180	Staub_2010.E1.1.SRC	3	who	4.244	4.03	0
180	Staub_2010.E1.1.SRC	3	who	4.187	3.4	1
180	Staub_2010.E1.1.SRC	3	who	4.34	3.625	0
180	Staub_2010.E1.1.SRC	3	who	4.001	3.698	1
180	Staub_2010.E1.1.SRC	4	followed	7.888	7.577	0
180	Staub_2010.E1.1.SRC	4	followed	7.735	7.344	1
180	Staub_2010.E1.1.SRC	4	followed	7.707	7.284	0
180	Staub_2010.E1.1.SRC	4	followed	7.627	7.3	1
180	Staub_2010.E1.1.SRC	5	the	1.483	1.444	0
180	Staub_2010.E1.1.SRC	5	the	1.497	1.27	1
180	Staub_2010.E1.1.SRC	5	the	1.488	1.353	0
180	Staub_2010.E1.1.SRC	5	the	1.495	1.409	1
180	Staub_2010.E1.1.SRC	6	kids	9.186	7.526	0
180	Staub_2010.E1.1.SRC	6	kids	8.96	7.56	1
180	Staub_2010.E1.1.SRC	6	kids	9.163	7.858	0
180	Staub_2010.E1.1.SRC	6	kids	9.288	8.459	1
180	Staub_2010.E1.1.SRC	7	wondered	12.709	11.372	0
180	Staub_2010.E1.1.SRC	7	wondered	12.783	12.295	1
180	Staub_2010.E1.1.SRC	7	wondered	11.921	10.793	0
180	Staub_2010.E1.1.SRC	7	wondered	12.701	11.368	1
181	Staub_2010.E1.1.ORC	3	who	4.108	3.746	0
181	Staub_2010.E1.1.ORC	3	who	4.077	3.879	1
181	Staub_2010.E1.1.ORC	3	who	4.045	3.618	0
181	Staub_2010.E1.1.ORC	3	who	4.112	3.552	1
181	Staub_2010.E1.1.ORC	4	the	7.082	6.824	0
181	Staub_2010.E1.1.ORC	4	the	7.159	6.947	1
181	Staub_2010.E1.1.ORC	4	the	7.113	6.957	0
181	Staub_2010.E1.1.ORC	4	the	7.082	7.122	1
181	Staub_2010.E1.1.ORC	5	kids	7.471	6.334	0
181	Staub_2010.E1.1.ORC	5	kids	7.463	5.924	1
181	Staub_2010.E1.1.ORC	5	kids	7.912	7.796	0
181	Staub_2010.E1.1.ORC	5	kids	7.732	5.566	1
181	Staub_2010.E1.1.ORC	6	followed	8.132	7.854	0
181	Staub_2010.E1.1.ORC	6	followed	7.964	7.297	1
181	Staub_2010.E1.1.ORC	6	followed	8.038	7.24	0
181	Staub_2010.E1.1.ORC	6	followed	8.142	7.346	1
181	Staub_2010.E1.1.ORC	7	wondered	11.81	10.596	0
181	Staub_2010.E1.1.ORC	7	wondered	12.108	10.508	1
181	Staub_2010.E1.1.ORC	7	wondered	12.255	10.552	0
181	Staub_2010.E1.1.ORC	7	wondered	12.91	11.833	1
182	Staub_2010.E1.2.SRC	2	who	4.671	4.194	0
182	Staub_2010.E1.2.SRC	2	who	4.456	4.422	1
182	Staub_2010.E1.2.SRC	2	who	4.331	4.128	0
182	Staub_2010.E1.2.SRC	2	who	4.475	4.352	1
182	Staub_2010.E1.2.SRC	3	distracted	13.454	12.983	0
182	Staub_2010.E1.2.SRC	3	distracted	13.409	12.832	1
182	Staub_2010.E1.2.SRC	3	distracted	13.481	12.932	0
182	Staub_2010.E1.2.SRC	3	distracted	13.527	12.787	1
182	Staub_2010.E1.2.SRC	4	the	2.174	1.792	0
182	Staub_2010.E1.2.SRC	4	the	2.147	2.249	1
182	Staub_2010.E1.2.SRC	4	the	2.188	1.965	0
182	Staub_2010.E1.2.SRC	4	the	2.085	1.869	1
182	Staub_2010.E1.2.SRC	5	cameraman	8.551	8.39	0
182	Staub_2010.E1.2.SRC	5	cameraman	8.414	7.969	1
182	Staub_2010.E1.2.SRC	5	cameraman	8.485	7.528	0
182	Staub_2010.E1.2.SRC	5	cameraman	8.234	7.862	1
182	Staub_2010.E1.2.SRC	6	poured	12.47	12.128	0
